"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_16941",85,140,11,51,5,44,24,40,137,2377,175,614,53,43,8087,9813,404,2031,1045,1508,37,48
"Bger_16949",14,3,0,3,3,1,3,8,226,5882,67,194,16,11,10500,13782,710,3519,2292,3281,4,3
"Bger_16944",0,1,0,3,0,2,0,0,16,462,82,545,6,5,6437,8046,215,1737,585,884,0,1
"Bger_16948",0,0,0,0,0,0,0,0,0,2,34,44,0,1,122,13,25,8,7,21,0,0
"Bger_16950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_16951",4,0,0,1,0,0,1,3,1,1,5,1,0,3,2,4,0,1,1,1,1,0
"Bger_20984",0,0,0,0,0,0,0,0,0,0,2,9,0,1,2,1,0,1,1,1,0,0
"Bger_20980",273,242,223,235,35,123,55,82,42,24,87,36,20,15,28,14,13,19,22,11,16,19
"Bger_20985",90,60,43,82,26,46,51,29,59,42,282,163,33,21,72,93,32,71,83,61,51,48
"Bger_20988",1,0,0,0,6,1,1,1,0,2,91,62,172,157,50,113,19,44,23,11,4,1
"Bger_20983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20986",6,7,0,1,10,5,21,36,14,9,347,102,110,105,38,84,16,49,19,11,20,22
"Bger_20982",59,54,35,48,22,39,36,43,28,10,49,29,37,47,15,21,18,24,12,13,4,9
"Bger_20981",0,0,0,0,0,0,2,2,3,4,11,2,0,0,1,0,0,0,1,0,1,0
"Bger_20987",5,1,0,0,1,3,10,6,12,1,39,8,4,1,3,7,1,6,1,2,2,2
"Bger_27918",2,0,0,0,2,0,6,6,2,1,8,5,0,1,0,3,0,0,1,2,4,2
"Bger_27919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_22037",13,5,4,13,1,9,1,7,3,3,72,69,19,14,23,34,6,13,10,3,9,4
"Bger_22036",15,14,4,12,2,9,4,3,1,2,2,2,7,2,2,4,5,9,10,5,9,11
"Bger_22040",346,840,114,914,162,1407,612,1140,225,284,389,461,318,198,134,161,95,156,114,114,105,99
"Bger_22039",9,35,2,48,2,27,7,20,6,5,13,15,2,2,5,6,1,5,2,4,5,0
"Bger_22041",678,1484,349,1568,170,1026,230,504,210,222,309,365,170,117,169,165,121,154,152,115,135,134
"Bger_22038",773,1167,282,1496,376,2001,1080,1660,388,357,652,685,421,272,175,224,116,215,142,151,146,123
"Bger_27966",5,2,0,0,1,0,8,5,1,1,9,9,3,2,2,6,1,2,2,4,4,1
"Bger_27920",182,146,8,142,7,103,50,69,103,35,155,68,40,34,25,43,11,40,18,25,14,17
"Bger_27300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_27299",2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,5,2
"Bger_27298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_27602",179,190,89,290,27,72,106,70,174,50,331,102,343,213,71,137,42,213,56,93,171,151
"Bger_26424",9,1,0,3,2,1,2,10,23,15,96,43,21,10,11,14,7,19,14,20,13,15
"Bger_26425",0,0,0,0,0,0,0,0,1,1,6,0,3,3,4,4,1,1,2,2,1,6
"Bger_14056",25,29,5,2,3,15,85,89,135,177,422,412,88,46,133,135,70,71,107,75,57,69
"Bger_14055",64,62,4,9,9,27,144,165,237,359,807,768,234,109,345,316,165,198,266,159,135,140
"Bger_14057",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"Bger_14058",0,1,1,0,0,0,76,54,99,52,16,86,61,61,10,11,7,11,3,6,27,27
"Bger_14059",0,0,0,0,0,0,3,1,12,2,2,3,2,5,0,0,0,2,0,0,0,0
"Bger_14062",6,19,4,19,0,15,1,6,4,0,4,2,0,0,2,0,3,0,1,0,0,0
"Bger_14060",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1
"Bger_14063",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Bger_14061",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_14064",23,21,10,37,8,19,24,23,18,10,33,24,5,3,8,9,4,8,7,8,7,4
"Bger_14069",293,1055,103,1137,48,568,172,690,48,106,78,178,76,53,43,43,28,45,41,55,48,51
"Bger_14071",6,4,0,0,1,4,8,14,7,3,11,10,3,6,2,3,1,2,2,3,2,0
"Bger_14066",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_14074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_14078",4,2,1,0,1,0,9,4,5,4,6,15,3,3,3,1,2,4,2,1,1,3
"Bger_14065",28,13,10,29,18,38,63,85,14,22,10,15,1,0,1,4,0,3,0,1,0,0
"Bger_14075",1,0,0,0,0,1,0,0,5,15,167,79,57,46,12,24,1,15,2,1,5,0
"Bger_14067",1170,891,498,870,90,445,10,79,89,48,119,59,28,18,39,65,33,55,38,48,32,25
"Bger_14068",956,1154,535,1160,127,695,35,150,67,42,105,58,43,22,25,42,22,44,28,23,55,57
